name,first part total clicks,first part object clicks,first part scale clicks,first part chat messages,second part total clicks,second part object clicks,second part scale clicks,second part guessing errors,seconnd part chat messages
Nicolaus Copernicus,12,8,4,0,9,3,6,3,0
Rachel Carson,12,8,4,0,11,3,8,5,0
Gregor Mendel,12,8,4,0,7,3,4,1,0
Grace Hopper,12,8,4,0,7,3,4,1,0
Tycho Brahe,12,8,4,0,7,3,4,1,0
Rosalind Franklin,12,8,4,0,7,3,4,1,0
Emmy Noether,12,8,4,0,9,3,6,3,0
Alexander Fleming,12,8,4,0,7,3,4,1,0
Leonardo da Vinci,12,8,4,0,6,3,3,0,0
Jane Goodall,12,8,4,0,7,3,4,1,0
Alessandro Volta,12,8,4,0,8,3,5,2,0
Max Planck,12,8,4,0,7,3,4,1,0
James Watt,12,8,4,0,8,3,5,2,0
Johannes Kepler,12,8,4,0,7,3,4,1,0
Lise Meitner,12,8,4,5,7,3,4,1,0
Dimitri Mendeleev,12,8,4,5,8,3,5,2,0
Robert Bunsen,12,8,4,4,8,3,5,2,0
Sophie Germain,12,8,4,4,6,3,3,0,0
Niels Bohr,12,8,4,5,8,3,5,2,2
Pythagoras,12,8,4,4,7,3,4,1,0
Caroline Herschel,12,8,4,5,8,3,5,2,0
Marie Curie,12,8,4,7,8,3,5,2,0
Galileo Galilei,12,8,4,5,7,3,4,1,0
Heinrich Hertz,12,8,4,6,6,3,3,0,0
Isaac Newton,12,8,4,4,6,3,3,0,0
Alfred Nobel,12,8,4,4,8,3,5,2,0
John Dalton,12,8,4,5,7,3,4,1,0
Florence Nightingale,12,8,4,4,7,3,4,1,0
